3

1 2 3 4
5 6 7 8
9 10 11 12
13 14 15 0

0 1 3 4
5 2 6 8
13 10 7 11
14 9 15 12

1 2 3 4
5 6 7 8
9 10 12 15
13 14 11 0

3 9 1 15
14 11 4 6
13 0 10 12
2 7 8 5

6 13 7 10
8 9 11 0
15 2 12 5
14 3 1 4




13 2 10 3
1 12 8 4
5 0 9 6
15 14 11 7

1 2 3 4
5 6 7 8
9 10 11 12
13 14 15 0


6 13 7 10
8 9 11 0
15 2 12 5
14 3 1 4

1 2 3 4
5 6 7 8
9 10 11 12
13 14 15 0


0 1 3 4
5 2 6 8
13 10 7 11
14 9 15 12

1 2 3 4
5 6 7 8
9 10 11 12
13 14 15 0




1 2 3 4
5 6 7 8
9 10 12 15
13 14 11 0

1 2 3 4
5 6 7 8
9 10 11 12
13 14 15 0
